week,date,day2,content,assignment,example,title
Week 01,NA,2023-09-28,/content/01-content,NA,/example/01-example,Hello
Week 02,2023-10-03T00:00:00Z,2023-10-05,/content/02-content,/assignment/02-assignment,/example/02-example,Data visualization
Week 03,2023-10-10T00:00:00Z,2023-10-12,/content/03-content,/assignment/03-assignment,/example/03-example,Data wrangling
Week 04,2023-10-17T00:00:00Z,2023-10-19,/content/04-content,/assignment/04-assignment,/example/04-example,Relationships
Week 05,2023-10-24T00:00:00Z,2023-10-26,/content/05-content,NA,/example/05-example,Modeling
,2023-10-31T00:00:00Z,NA,NA,NA,NA,"Midterm exam <i class=""fa-solid fa-star""></i>"
Week 06,2023-10-31T00:00:00Z,2023-11-02,/content/06-content,/assignment/06-assignment,/example/06-example,Prediction
Week 07,2023-11-07T00:00:00Z,2023-11-09,/content/07-content,/assignment/07-assignment,/example/07-example,Causality
Week 08,2023-11-14T00:00:00Z,2023-11-16,/content/08-content,/assignment/08-assignment,/example/08-example,DAGs
Week 09,2023-11-21T00:00:00Z,NA,/content/09-content,/assignment/09-assignment,/example/09-example,Natural experiments
Week 10,2023-11-28T00:00:00Z,2023-11-30,/content/10-content,/assignment/10-assignment,/example/10-example,Uncertainty
Week 11,2023-12-05T00:00:00Z,2023-12-07,/content/11-content,NA,/example/11-example,Hypothesis testing
,2023-12-15T10:30:00Z,NA,NA,NA,NA,"Final exam <i class=""fa-solid fa-star""></i>"
